id;title;description;tasks;users
1;contextually-based Home Loan Account Books;Stand-alone;69499;42719
2;Refined Frozen Table Infrastructure;Assimilated Center;97216;73781
3;Kansas utilize;Checking Account Engineer;89511;39553
4;system e-services Soft;Senior Junctions Assistant;17506;15586
5;Investment Account;world-class digital;81135;88483
6;Berkshire Alley revolutionary;robust solution;10390;79445
7;Beauty index Enhanced;Prairie;95809;7382
8;copying Fresh Corners;Buckinghamshire Azerbaijanian Manat;48631;94665
9;open-source;Kwacha multi-byte;83567;38365
10;Intelligent Radial Specialist;Fiji Dollar;55750;92628
