id;title;description;start_date;end_date;priority
1;withdrawal Moldovan Leu Intelligent;Analyst Technician;2021-03-26T00:50:17;2021-03-26T12:29:39;MEDIUM
2;Chair methodologies;deposit;2021-03-26T00:32:44;2021-03-26T07:14:51;HARD
3;back-end;Turnpike Stream circuit;2021-03-25T19:11:34;2021-03-25T21:50:31;MEDIUM
4;reboot;zero administration;2021-03-26T11:56:34;2021-03-25T19:56:58;LOW
5;optical web-enabled back-end;backing up Ramp calculating;2021-03-26T16:06:46;2021-03-26T14:44:25;HARD
6;Handmade recontextualize;Fantastic Intelligent Metal Shoes;2021-03-26T10:44:20;2021-03-25T19:57:24;LOW
7;invoice;input;2021-03-26T07:10:40;2021-03-25T17:39:24;HARD
8;Personal Loan Account;applications withdrawal Rustic;2021-03-26T10:50:59;2021-03-26T09:45:23;MEDIUM
9;copying;Organized Rubber parse;2021-03-26T03:00:03;2021-03-26T02:23:53;HARD
10;Colombian Peso Unidad de Valor Real initiatives;Shirt;2021-03-26T10:30:09;2021-03-25T22:19:03;MEDIUM
